mode,slack,strictly_positive
200,138373537437003456627841/20686468837500000000000000000,true
203,4061594188/1939356453515625,true
206,2044304355610724061067694563/68954896125000000000000000000000,true
209,365462938036110050531341/41372937675000000000000000000,true
212,70791876481/41372937675000000,true
215,6545530373367752782467149119/620594065125000000000000000000000,true
218,101966556111281092517863/10343234418750000000000000000,true
221,2023163757047/496475252100000000,true
224,1168462306914236587621542419/248237626050000000000000000000000,true
227,164970078829780472205251/20686468837500000000000000000,true
230,16559844043/9193986150000000,true
233,3614611546576996321612366531/137909792250000000000000000000000,true
236,802774323363707230874941/62059406512500000000000000000,true
239,251851247947/99295050420000000,true
242,1142419303878748436587507159/31029703256250000000000000000000,true
245,45048698684037419661259/6205940651250000000000000000,true
248,1785152855857/248237626050000000,true
251,2593150319682675992713509691/183879723000000000000000000000000,true
254,15639415057811447182381/2585808604687500000000000000,true
257,701980559489/165491750700000000,true
260,14937511530898499620277099699/1654917507000000000000000000000000,true
263,584149927503202535543249/24823762605000000000000000000,true
266,13677517631/5171617209375000,true
269,351692903462342780923869759/30646620500000000000000000000000,true
272,853622806776015631197391/124118813025000000000000000000,true
275,92878087507/27581958450000000,true
278,6187917695689935970487384273/1654917507000000000000000000000000,true
281,7810482173281725052667/1034323441875000000000000000,true
284,64409100191/24823762605000000,true
287,6926224798473111879386845741/827458753500000000000000000000000,true
290,185043095371005248246557/20686468837500000000000000000,true
293,33065846153/16549175070000000,true
296,44094025261891381048416273707/4964752521000000000000000000000000,true
299,1183644414870300770503883/124118813025000000000000000000,true
302,1471089938177/248237626050000000,true
305,2630315541125400854639261/538710125976562500000000000000,true
308,318655313864175892898171/24823762605000000000000000000,true
311,947665026827/496475252100000000,true
314,13987271252326778456743254959/992950504200000000000000000000000,true
317,328684515834279846516887/31029703256250000000000000000,true
320,287522686133/124118813025000000,true
323,110966819331834713011397123/7661655125000000000000000000000,true
326,7552456182775996901773/1292904302343750000000000000,true
329,276432982829/55163916900000000,true
332,683736650766996177189188411/103432344187500000000000000000000,true
335,82551334379320235886271/15514851628125000000000000000,true
338,38707926923/10343234418750000,true
341,56729794169556026798745974149/4964752521000000000000000000000000,true
344,58850314660156165372567/4137293767500000000000000000,true
347,212266753879/124118813025000000,true
350,74141523260379825842931281683/2482376260500000000000000000000000,true
353,268743392021357490142777/41372937675000000000000000000,true
356,324891423271/82745875350000000,true
359,547920254344962668309680853/124118813025000000000000000000000,true
362,42543808768718808488611/6205940651250000000000000000,true
365,10497391651/2758195845000000,true
368,6606275896906910047126419749/620594065125000000000000000000000,true
371,53848095592410785400433/5171617209375000000000000000,true
374,28909089383/12411881302500000,true
377,2757121844356545605963748881/165491750700000000000000000000000,true
380,1978552059672473634667331/124118813025000000000000000000,true
383,289592002559/99295050420000000,true
386,3607287499337226870785449393/551639169000000000000000000000000,true
389,226959242432117924951237/41372937675000000000000000000,true
392,860415749521/496475252100000000,true
395,44449787375872287188111120459/1654917507000000000000000000000000,true
398,99351654695760476152843/10343234418750000000000000000,true
401,49283162833/27581958450000000,true
404,15677217260515104885891925571/992950504200000000000000000000000,true
407,291414839582445398434181/24823762605000000000000000000,true
410,453347394983/31029703256250000,true
413,777618403524062746076295301/137909792250000000000000000000000,true
416,308723218652091097533121/41372937675000000000000000000,true
419,1533545608453/496475252100000000,true
422,5468171468729579496145768981/496475252100000000000000000000000,true
425,2711155441648942505475397/124118813025000000000000000000,true
428,172448628793/82745875350000000,true
431,60776411784673658360312316313/4964752521000000000000000000000000,true
434,670544622888329434252813/124118813025000000000000000000,true
437,181317182677/55163916900000000,true
440,2547025871452393158969322153/496475252100000000000000000000000,true
443,81447591539618371508609/12411881302500000000000000000,true
446,171180147643/82745875350000000,true
449,14405354487836021554930595279/992950504200000000000000000000000,true
452,358444355790121594088123/41372937675000000000000000000,true
455,621220471043/165491750700000000,true
458,464893972310707748875089403/61293241000000000000000000000000,true
461,11231843954807917594567/1034323441875000000000000000,true
464,157802640703/55163916900000000,true
467,3154051759807304337095010367/620594065125000000000000000000000,true
470,856632544970683033007197/124118813025000000000000000000,true
473,307545523063/165491750700000000,true
476,77442464853892071668572159931/4964752521000000000000000000000000,true
479,2491196169498551272061761/124118813025000000000000000000,true
482,43325463013/24823762605000000,true
485,95684498835613469500027560623/4964752521000000000000000000000000,true
488,190498986225844819723493/15514851628125000000000000000,true
491,2086090416017/496475252100000000,true
494,38556424915156679827494352487/4964752521000000000000000000000000,true
497,718872021699983466367453/124118813025000000000000000000,true
500,180909906991/24823762605000000,true
503,2666141984399646376493056067/310297032562500000000000000000000,true
506,1175364052632348285910753/62059406512500000000000000000,true
509,918879378223/496475252100000000,true
512,5265766230062358020573952631/330983501400000000000000000000000,true
515,52438527968650058961247/8274587535000000000000000000,true
518,1376525869891/496475252100000000,true
521,4047994856979579340130607293/1241188130250000000000000000000000,true
524,60999069530814493077439/6205940651250000000000000000,true
527,1573205229143/496475252100000000,true
530,4129335814294413054737691677/413729376750000000000000000000000,true
533,776034113049414861039/76616551250000000000000000,true
536,422879901311/248237626050000000,true
539,34096841111757880236949845631/4964752521000000000000000000000000,true
542,95991762338990083042333/6895489612500000000000000000,true
545,290332303561/41372937675000000,true
548,5668570438891612249216430377/992950504200000000000000000000000,true
551,256337425292053146083429/41372937675000000000000000000,true
554,1326837477251/496475252100000000,true
557,2696947175586674274094654229/206864688375000000000000000000000,true
560,487731294456311553781067/62059406512500000000000000000,true
563,31440380077/13790979225000000,true
566,93021645733884339059759208439/4964752521000000000000000000000000,true
569,110687335628135214969377/12411881302500000000000000000,true
572,1091345285647/248237626050000000,true
575,22840025167169438666718699749/4964752521000000000000000000000000,true
578,85662218176622003995157/15514851628125000000000000000,true
581,2962171461163/496475252100000000,true
584,8235748067187820391062036007/992950504200000000000000000000000,true
587,44847887566202931541271/3102970325625000000000000000,true
590,344499726089/165491750700000000,true
593,27966423341360879464064510791/827458753500000000000000000000000,true
596,32473804313401350251257/4137293767500000000000000000,true
599,554676131/206864688375000,true
602,3664021840504240422585198833/827458753500000000000000000000000,true
605,498702872205778238953309/62059406512500000000000000000,true
608,596376026611/248237626050000000,true
611,86944559290887623988689634653/4964752521000000000000000000000000,true
614,742459405668976855607177/62059406512500000000000000000,true
617,1185226949503/496475252100000000,true
620,3106926152185270993002002371/413729376750000000000000000000000,true
623,1443186617543152394893579/124118813025000000000000000000,true
626,58171149313/18387972300000000,true
629,32510535252932764538080228151/4964752521000000000000000000000000,true
632,711598781988836091759373/124118813025000000000000000000,true
635,102465073549/55163916900000000,true
638,33618347667863316325515964373/1241188130250000000000000000000000,true
641,229415688260057963349689/15514851628125000000000000000,true
644,620372836351/248237626050000000,true
647,28061042528047438051929229163/1654917507000000000000000000000000,true
650,106611967776670116526757/7757425814062500000000000000,true
653,324099978559/55163916900000000,true
656,812309447690399960523897119/155148516281250000000000000000000,true
659,209897763134075022931181/24823762605000000000000000000,true
662,415181303027/124118813025000000,true
665,21469870861036324176652422047/2482376260500000000000000000000000,true
668,205982151335724996346933/6205940651250000000000000000,true
671,17435015753/10343234418750000,true
674,48647705400766583573240205401/2482376260500000000000000000000000,true
677,151761287316014297709283/24823762605000000000000000000,true
680,11101332767/3447744806250000,true
683,32891026713997691701676340701/4964752521000000000000000000000000,true
686,96793063655455113184693/13790979225000000000000000000,true
689,301893484793/99295050420000000,true
692,26032989883279512188979674923/1654917507000000000000000000000000,true
695,179784036510474923019619/12411881302500000000000000000,true
698,42751973543/16549175070000000,true
701,362456788761602852773705673/45969930750000000000000000000000,true
704,1180257377184235152788419/124118813025000000000000000000,true
707,1745276481109/496475252100000000,true
710,5002340637344133525087143249/1241188130250000000000000000000000,true
713,807174988190210185179007/124118813025000000000000000000,true
716,156841578149/82745875350000000,true
719,14293742817517151744282019317/496475252100000000000000000000000,true
722,954729402543559699790209/62059406512500000000000000000,true
725,1067254792237/496475252100000000,true
728,3774284745850724880336949349/155148516281250000000000000000000,true
731,645950873605021798315099/62059406512500000000000000000,true
734,2444248658191/496475252100000000,true
737,16375668042179413436122316929/2482376260500000000000000000000000,true
740,719212677340475483188591/124118813025000000000000000000,true
743,93810115961/33098350140000000,true
746,43560239690225064848320532237/4964752521000000000000000000000000,true
749,1573181183260778887245757/124118813025000000000000000000,true
752,139602534217/62059406512500000,true
755,4266887456347728921687237539/330983501400000000000000000000000,true
758,394097549587982326223393/41372937675000000000000000000,true
761,1335355545409/496475252100000000,true
764,16996959570787517315489196547/4964752521000000000000000000000000,true
767,1156262132978381830433029/124118813025000000000000000000,true
770,339724008377/124118813025000000,true
773,45735849390552921878970701701/4964752521000000000000000000000000,true
776,87180445073379913620253/7757425814062500000000000000,true
779,155836362017/82745875350000000,true
782,2484774154827298345080166013/496475252100000000000000000000000,true
785,42391029732581645360647/4964752521000000000000000000,true
788,2145128462063/496475252100000000,true
791,31572373313705201765301928381/4964752521000000000000000000000000,true
794,802598863012605826033613/124118813025000000000000000000,true
797,245329380439/124118813025000000,true
800,9176862085374045383961538741/620594065125000000000000000000000,true
803,1157373233664267369018553/124118813025000000000000000000,true
806,252620435473/99295050420000000,true
809,22486603431357211622501861539/2482376260500000000000000000000000,true
812,805645026224272503381221/124118813025000000000000000000,true
815,583859188171/124118813025000000,true
818,16762805620794560585891978237/1654917507000000000000000000000000,true
821,29249734089866748832759/4596993075000000000000000000,true
824,123714024107/33098350140000000,true
827,4555456854602901142655570087/496475252100000000000000000000000,true
830,550707074681611988881447/41372937675000000000000000000,true
833,143757274187/41372937675000000,true
836,11660179666381354083650507147/620594065125000000000000000000000,true
839,70755077194397310352759/13790979225000000000000000000,true
842,1831552314859/496475252100000000,true
845,3905870970560827634364769471/992950504200000000000000000000000,true
848,73273750642087852473181/13790979225000000000000000000,true
851,1568488070879/496475252100000000,true
854,2093653074170054867155880957/165491750700000000000000000000000,true
857,234606638893098464265893/31029703256250000000000000000,true
860,10509257537/3677594460000000,true
863,34870542913645837706443741613/4964752521000000000000000000000000,true
866,1205821158428369226311453/62059406512500000000000000000,true
869,355784424761/124118813025000000,true
872,16319023238262693420103761907/1654917507000000000000000000000000,true
875,98040510621677144591659/20686468837500000000000000000,true
878,267164717323/99295050420000000,true
881,611901147995728839515901167/33098350140000000000000000000000,true
884,1569491330434687809795997/124118813025000000000000000000,true
887,187382415463/99295050420000000,true
890,1231026372969501601767793129/25858086046875000000000000000000,true
893,24120322245103552509961/3102970325625000000000000000,true
896,895942669183/165491750700000000,true
899,3718650058833712681046424007/827458753500000000000000000000000,true
902,61553837408333957515301/10343234418750000000000000000,true
905,153474181783/55163916900000000,true
908,7072528182935509454497316731/620594065125000000000000000000000,true
911,1536432319527461964043807/62059406512500000000000000000,true
914,366431637257/165491750700000000,true
917,55321497752643689331827788747/2482376260500000000000000000000000,true
920,691264229735397559873033/124118813025000000000000000000,true
923,756975309961/248237626050000000,true
926,532222931517164510571399653/110327833800000000000000000000000,true
929,240024789845891119303781/41372937675000000000000000000,true
932,69945324791/31029703256250000,true
935,4451876979943592943605753941/248237626050000000000000000000000,true
938,416180921005539867420799/41372937675000000000000000000,true
941,832862793961/496475252100000000,true
944,6025345435816466924179078129/620594065125000000000000000000000,true
947,7372704107077812913447/766165512500000000000000000,true
950,1985423584681/496475252100000000,true
953,2489590039195599939061927183/551639169000000000000000000000000,true
956,39075769616008137454549/4964752521000000000000000000,true
959,880922035909/496475252100000000,true
962,12349751085049990045021498783/620594065125000000000000000000000,true
965,178643735476869662531981/15514851628125000000000000000,true
968,34876670971/19859010084000000,true
971,60498186227377357232661334357/2482376260500000000000000000000000,true
974,1206950466492321225550501/124118813025000000000000000000,true
977,2692100229607/496475252100000000,true
980,4071933789260568432902767883/496475252100000000000000000000000,true
983,789697647831267598986191/124118813025000000000000000000,true
986,376610436733/99295050420000000,true
989,2145923533298623973352869813/198590100840000000000000000000000,true
992,346052257077366101903647/15514851628125000000000000000,true
995,53096308859/24823762605000000,true
998,7729560960479188656024140881/620594065125000000000000000000000,true
1001,28230221736631581852067/4137293767500000000000000000,true
1004,577212976123/165491750700000000,true
1007,868160871753215432135816429/275819584500000000000000000000000,true
1010,745458819712785565423397/62059406512500000000000000000,true
1013,90215360183/27581958450000000,true
1016,23851884714853526916031113649/2482376260500000000000000000000000,true
1019,1069385737195597025549377/124118813025000000000000000000,true
1022,1284984525107/496475252100000000,true
1025,327081202499988188500737359/36775944600000000000000000000000,true
1028,272485072424997231065027/20686468837500000000000000000,true
1031,99584155483/18387972300000000,true
1034,673276092234060958444707019/124118813025000000000000000000000,true
1037,16546391840464642111349/2298496537500000000000000000,true
1040,332269560107/165491750700000000,true
1043,99171609670377034613074308059/4964752521000000000000000000000000,true
1046,2743154071423705011289/330983501400000000000000000,true
1049,129212779771/49647525210000000,true
1052,2715345312013655935733621509/248237626050000000000000000000000,true
1055,14942975075557842379963/2068646883750000000000000000,true
1058,819634418941/165491750700000000,true
1061,9640511717894887779571189901/1654917507000000000000000000000000,true
1064,203523466454517599914541/24823762605000000000000000000,true
1067,133102533193/24823762605000000,true
1070,48700532903480127414667615133/4964752521000000000000000000000000,true
1073,1008615695064972019067329/62059406512500000000000000000,true
1076,1289523696661/496475252100000000,true
1079,100854555655989793138202507663/2482376260500000000000000000000000,true
1082,756656315252809603149019/124118813025000000000000000000,true
1085,1144568207779/248237626050000000,true
1088,22281257031078364586241732079/4964752521000000000000000000000000,true
1091,916107483162798269513381/124118813025000000000000000000,true
1094,29877193051/9193986150000000,true
1097,75323721758991119545973185243/4964752521000000000000000000000000,true
1100,1298573956767278463415267/124118813025000000000000000000,true
1103,12633603539/4596993075000000,true
1106,24352529806886268798569778487/2482376260500000000000000000000000,true
1109,462649868578707763704869/41372937675000000000000000000,true
1112,348903715613/99295050420000000,true
1115,8132462981148927653649378379/1654917507000000000000000000000000,true
1118,46974515408613768323989/10343234418750000000000000000,true
1121,299347596379/165491750700000000,true
1124,29292085184183674405462741951/1654917507000000000000000000000000,true
1127,75652774693762329974651/6895489612500000000000000000,true
1130,782523563297/496475252100000000,true
1133,92087169558828566779742080621/4964752521000000000000000000000000,true
1136,1001120043112482638506477/124118813025000000000000000000,true
1139,934932347687/124118813025000000,true
1142,5957656595208595145028070717/1241188130250000000000000000000000,true
1145,273651920173657825205677/31029703256250000000000000000,true
1148,255340203713/82745875350000000,true
1151,26863698673562045784601459709/2482376260500000000000000000000000,true
1154,340425590816476848914579/12411881302500000000000000000,true
1157,104443069709/49647525210000000,true
1160,62162650239073086152969131271/4964752521000000000000000000000000,true
1163,128828514594997471952617/20686468837500000000000000000,true
1166,713528591191/248237626050000000,true
1169,424793570406181995979494641/91939861500000000000000000000000,true
1172,768966837335549037476297/124118813025000000000000000000,true
1175,157404297371/82745875350000000,true
1178,3471107037442685779913130553/275819584500000000000000000000000,true
1181,59363301797450246805637/5171617209375000000000000000,true
1184,1326038063407/496475252100000000,true
1187,2978315826190325954448148789/310297032562500000000000000000000,true
1190,339252885265625854486411/41372937675000000000000000000,true
1193,313272114181/99295050420000000,true
1196,9994100155161627259870311271/1654917507000000000000000000000000,true
1199,767256377901607712224417/124118813025000000000000000000,true
1202,934770553673/496475252100000000,true
1205,60337301192007545209787262713/4964752521000000000000000000000000,true
1208,228269952382216867318021/12411881302500000000000000000,true
1211,13210475071/4137293767500000,true
1214,62730184062506879473624924223/4964752521000000000000000000000000,true
1217,1205191902424946497125247/124118813025000000000000000000,true
1220,101363076373/16549175070000000,true
1223,610468594993814287720903121/82745875350000000000000000000000,true
1226,6862604520939258709069/1149248268750000000000000000,true
1229,757873592593/165491750700000000,true
1232,46644398986333151190150672503/4964752521000000000000000000000000,true
1235,2194702582336618043244347/124118813025000000000000000000,true
1238,185843749643/99295050420000000,true
1241,30671311922350859484343129133/2482376260500000000000000000000000,true
1244,244974063163265052329723/41372937675000000000000000000,true
1247,927750233/310297032562500,true
1250,7367965536197913421177078187/1241188130250000000000000000000000,true
1253,129411833948670999519031/13790979225000000000000000000,true
1256,89876688281/15514851628125000,true
1259,2571078253106038069495169549/310297032562500000000000000000000,true
1262,138824700124264919957443/13790979225000000000000000000,true
1265,101096776819/55163916900000000,true
1268,30096205590238850520605554877/4964752521000000000000000000000000,true
1271,513261849731708939798113/41372937675000000000000000000,true
1274,3066289511399/496475252100000000,true
1277,2300026257265192589500097021/413729376750000000000000000000000,true
1280,17833979208389536502153/2482376260500000000000000000,true
1283,1153983585671/496475252100000000,true
1286,26857376311027447659440103227/2482376260500000000000000000000000,true
1289,11205324199794984811399/992950504200000000000000000,true
1292,1189267951639/496475252100000000,true
1295,871110735529523772063518341/82745875350000000000000000000000,true
1298,72771682271292298334551/10343234418750000000000000000,true
1301,2565425356123/496475252100000000,true
1304,1596487180112977048090049017/330983501400000000000000000000000,true
1307,44369856343954742633471/6205940651250000000000000000,true
1310,58402791023/11032783380000000,true
1313,4565909899071322660343588657/620594065125000000000000000000000,true
1316,1929089941438246337979997/124118813025000000000000000000,true
1319,499905947513/248237626050000000,true
1322,60487085148529232048070439459/2482376260500000000000000000000000,true
1325,373871336367328574970533/41372937675000000000000000000,true
1328,339217875199/99295050420000000,true
1331,3975144046703800768066803821/992950504200000000000000000000000,true
1334,867813718310122616646793/124118813025000000000000000000,true
1337,1615718680043/496475252100000000,true
1340,3733559345589620758983646993/310297032562500000000000000000000,true
1343,260523810642638636454691/31029703256250000000000000000,true
1346,261937952903/82745875350000000,true
1349,35074868490796358935046917261/4964752521000000000000000000000000,true
1352,1439774978189244206160211/124118813025000000000000000000,true
1355,115594429301/41372937675000000,true
1358,2909976181544289497311375127/551639169000000000000000000000000,true
1361,733286276361785049352019/124118813025000000000000000000,true
1364,58939596031/27581958450000000,true
1367,11184603035264383418326288643/330983501400000000000000000000000,true
1370,224762226921132602076979/15514851628125000000000000000,true
1373,157499357507/99295050420000000,true
1376,31734834392257484298549881969/1241188130250000000000000000000000,true
1379,209174318810669405003393/15514851628125000000000000000,true
1382,238558436279/33098350140000000,true
1385,4274318110698968387888391329/827458753500000000000000000000000,true
1388,164945813935873020330469/31029703256250000000000000000,true
1391,133116728807/55163916900000000,true
1394,288094702958381650951284517/34477448062500000000000000000000,true
1397,229526548659900355929299/12411881302500000000000000000,true
1400,311395205837/165491750700000000,true
1403,109598305279039123825621803613/4964752521000000000000000000000000,true
1406,394111972417823801432417/62059406512500000000000000000,true
1409,196614906449/55163916900000000,true
1412,625137273925259851781804273/165491750700000000000000000000000,true
1415,637151075277740418699353/124118813025000000000000000000,true
1418,607043529919/248237626050000000,true
1421,75570139363373351359543154731/4964752521000000000000000000000000,true
1424,151038029411025337741499/12411881302500000000000000000,true
1427,316283117761/124118813025000000,true
1430,219354776164984415687425817/30646620500000000000000000000000,true
1433,174333628051736697565439/13790979225000000000000000000,true
1436,76985381827/19859010084000000,true
1439,3401016472622298114654050869/827458753500000000000000000000000,true
1442,341834419190896129847629/62059406512500000000000000000,true
1445,418422041351/165491750700000000,true
1448,9384372199205815403695438403/551639169000000000000000000000000,true
1451,1476069962609403700788149/124118813025000000000000000000,true
1454,183719754521/99295050420000000,true
1457,11406872834049048651288679357/330983501400000000000000000000000,true
1460,20379354734285518886609/1723872403125000000000000000,true
1463,2074953203321/496475252100000000,true
1466,4591847419991164175594617541/551639169000000000000000000000000,true
1469,94720581556007026625371/15514851628125000000000000000,true
1472,58515122641/19859010084000000,true
1475,7818300736359689204118000487/827458753500000000000000000000000,true
1478,94124842309852984684577/7757425814062500000000000000,true
1481,5583365803/2298496537500000,true
1484,21900127270423331267561442703/1654917507000000000000000000000000,true
1487,339464155133969009364869/31029703256250000000000000000,true
1490,607724526011/248237626050000000,true
1493,17518808972765265142222001677/4964752521000000000000000000000000,true
1496,11110943683153980756923/1532331025000000000000000000,true
1499,394872742129/124118813025000000,true
1502,8474890508239507952384346301/827458753500000000000000000000000,true
1505,469530313704691609690649/41372937675000000000000000000,true
1508,2587295851/1323934005600000,true
1511,1024775563414258816892564531/206864688375000000000000000000000,true
1514,126870906654068663926901/15514851628125000000000000000,true
1517,739867227989/165491750700000000,true
1520,5222922133376431636203596183/827458753500000000000000000000000,true
1523,364123310246661373961689/62059406512500000000000000000,true
1526,446312019491/248237626050000000,true
1529,12561353214239195795642645309/992950504200000000000000000000000,true
1532,224760613117759247119913/24823762605000000000000000000,true
1535,254936493583/82745875350000000,true
1538,19073311432948042474506094847/1654917507000000000000000000000000,true
1541,272580120025217262423791/41372937675000000000000000000,true
1544,525344303689/124118813025000000,true
1547,15103600845218371009754809019/1654917507000000000000000000000000,true
1550,157298156998089534718309/24823762605000000000000000000,true
1553,2874595242403/496475252100000000,true
1556,13064600690607144094047891313/1241188130250000000000000000000000,true
1559,1354101401329318811393519/124118813025000000000000000000,true
1562,1203530390153/496475252100000000,true
1565,24822363667693843186100653873/992950504200000000000000000000000,true
1568,697202236830825868907/129290430234375000000000000,true
1571,1888261034837/496475252100000000,true
1574,3592786670558517653755592599/827458753500000000000000000000000,true
1577,221884910744286135401017/41372937675000000000000000000,true
1580,351014077007/124118813025000000,true
1583,27667896313139271810360533191/2482376260500000000000000000000000,true
1586,59968017341542726994963/7757425814062500000000000000,true
1589,284152449491/55163916900000000,true
1592,158539636394362402658158097/18387972300000000000000000000000,true
1595,500431784205147063480961/31029703256250000000000000000,true
1598,54327999359/19859010084000000,true
1601,18042500181755289427481545897/2482376260500000000000000000000000,true
1604,86015225761600433144231/15514851628125000000000000000,true
1607,66513967349/31029703256250000,true
1610,34242172487961911185562152297/1654917507000000000000000000000000,true
1613,1631510605295417232554647/124118813025000000000000000000,true
1616,268625097949/165491750700000000,true
1619,4250146854431298049474364711/99295050420000000000000000000000,true
1622,264722835687617982752827/24823762605000000000000000000,true
1625,2901073243/306466205000000,true
1628,9128068533025379391712428677/1241188130250000000000000000000000,true
1631,794793427955833268273213/124118813025000000000000000000,true
1634,437798012837/82745875350000000,true
1637,54408997829223198813109130287/4964752521000000000000000000000000,true
1640,937784123304960937365607/20686468837500000000000000000,true
1643,3259401853/1838797230000000,true
1646,27523572147461010284998705381/1654917507000000000000000000000000,true
1649,770544873560705778353881/124118813025000000000000000000,true
1652,546018190379/165491750700000000,true
1655,23610285383211934546738257287/4964752521000000000000000000000000,true
1658,250886917646876487007801/41372937675000000000000000000,true
1661,1027344055019/496475252100000000,true
1664,4336593479847043786121571007/248237626050000000000000000000000,true
1667,30512081087731531205807/3447744806250000000000000000,true
1670,71818676683/31029703256250000,true
1673,7863972043562873462290958179/992950504200000000000000000000000,true
1676,397093794200149903540069/41372937675000000000000000000,true
1679,3170748465619/496475252100000000,true
1682,3692007742864266459209184931/551639169000000000000000000000000,true
1685,784345607371813154445157/124118813025000000000000000000,true
1688,70494769153/41372937675000000,true
1691,24375558797327294302125773473/1654917507000000000000000000000000,true
1694,1728817866933568098857363/124118813025000000000000000000,true
1697,35362342147/13790979225000000,true
1700,16338444092865618336949928507/620594065125000000000000000000000,true
1703,281564996506579548764753/31029703256250000000000000000,true
1706,59575299599/9929505042000000,true
1709,538437588092650408014989527/45969930750000000000000000000000,true
1712,800958370866361703407031/124118813025000000000000000000,true
1715,523976860087/165491750700000000,true
1718,1444400240967852579797314081/124118813025000000000000000000000,true
1721,621859415092147472591401/31029703256250000000000000000,true
1724,25132167121/13790979225000000,true
1727,37538175578949111003986260019/2482376260500000000000000000000000,true
1730,230611042101154483023979/41372937675000000000000000000,true
1733,1390238987359/496475252100000000,true
1736,857214463203902673113613721/248237626050000000000000000000000,true
1739,25028809980796274975521/2298496537500000000000000000,true
1742,92617444393/24823762605000000,true
1745,45873367414845419426810283373/4964752521000000000000000000000000,true
1748,633589195779558062282257/62059406512500000000000000000,true
1751,911020903817/496475252100000000,true
1754,11927341560827934754463673253/1654917507000000000000000000000000,true
1757,1655507032613773918336433/124118813025000000000000000000,true
1760,907316704171/124118813025000000,true
1763,9655833386148753146016384887/2482376260500000000000000000000000,true
1766,1111770189866397634332583/124118813025000000000000000000,true
1769,314214977143/165491750700000000,true
1772,26037123020562789358908185143/1654917507000000000000000000000000,true
1775,9592021540734970959091/1241188130250000000000000000,true
1778,497218738841/248237626050000000,true
1781,34788963911472198638650206941/2482376260500000000000000000000000,true
1784,2078908759104263896193/323226075585937500000000000,true
1787,200038422967/49647525210000000,true
1790,1743694835037488311604062909/330983501400000000000000000000000,true
1793,16285587547377227128277/2068646883750000000000000000,true
1796,1881734127239/496475252100000000,true
1799,46401220902080741390152863979/4964752521000000000000000000000000,true
1802,1589737421559706625678801/124118813025000000000000000000,true
1805,147180325159/62059406512500000,true
1808,9633431558933587261446296227/551639169000000000000000000000000,true
1811,954662003792807376382609/124118813025000000000000000000,true
1814,2140319748277/496475252100000000,true
1817,11708534050275007356006376739/2482376260500000000000000000000000,true
1820,1443975511926412373035387/124118813025000000000000000000,true
