hook,source,passed,detail
H1_retarded_window_identity,d5:r10:peven:b1,yes,y=10
H1_retarded_target,d5:r10:peven:b2,yes,target=d5:r40:peven:b2 expected=d5:r40:peven:b2
H1_retarded_window_identity,d5:r10:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r10:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r10:peven:b2,yes,y=10
H1_retarded_target,d5:r11:podd:b0,yes,target=d5:r44:peven:b2 expected=d5:r44:peven:b2
H1_retarded_window_identity,d5:r11:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r11:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r11:podd:b0,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r11:podd:b0,yes,3c+1=22 2a=22
H3_lift_child_mod3,d5:r11:podd:b0,yes,c_mod3=1
H3_lift_route,d5:r11:podd:b0,yes,T(2c)=7 c=7
H3_lift_target,d5:r11:podd:b0,yes,target=d5:r14:peven:b1 expected=d5:r14:peven:b1
H3_lift_parity_window_exact,d5:r11:podd:b0,yes,y=8
H3_lift_parity_window_exact,d5:r11:podd:b0,yes,y=9
H3_lift_parity_window_exact,d5:r11:podd:b0,yes,y=10
H1_retarded_target,d5:r11:peven:b1,yes,target=d5:r44:peven:b2 expected=d5:r44:peven:b2
H1_retarded_window_identity,d5:r11:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r11:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r11:peven:b1,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r11:peven:b1,yes,3c+1=4396 2a=4396
H3_lift_child_mod3,d5:r11:peven:b1,yes,c_mod3=1
H3_lift_route,d5:r11:peven:b1,yes,T(2c)=1465 c=1465
H3_lift_target,d5:r11:peven:b1,yes,target=d5:r14:peven:b1 expected=d5:r14:peven:b1
H3_lift_parity_window_exact,d5:r11:peven:b1,yes,y=8
H3_lift_parity_window_exact,d5:r11:peven:b1,yes,y=9
H3_lift_parity_window_exact,d5:r11:peven:b1,yes,y=10
H1_retarded_target,d5:r11:peven:b2,yes,target=d5:r44:peven:b2 expected=d5:r44:peven:b2
H1_retarded_window_identity,d5:r11:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r11:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r11:peven:b2,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r11:peven:b2,yes,3c+1=1480 2a=1480
H3_lift_child_mod3,d5:r11:peven:b2,yes,c_mod3=1
H3_lift_route,d5:r11:peven:b2,yes,T(2c)=493 c=493
H3_lift_target,d5:r11:peven:b2,yes,target=d5:r14:peven:b1 expected=d5:r14:peven:b1
H3_lift_parity_window_exact,d5:r11:peven:b2,yes,y=8
H3_lift_parity_window_exact,d5:r11:peven:b2,yes,y=9
H3_lift_parity_window_exact,d5:r11:peven:b2,yes,y=10
H1_retarded_target,d5:r12:podd:b0,yes,target=d5:r48:peven:b2 expected=d5:r48:peven:b2
H1_retarded_window_identity,d5:r12:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r12:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r12:podd:b0,yes,y=10
H1_retarded_target,d5:r12:peven:b1,yes,target=d5:r48:peven:b2 expected=d5:r48:peven:b2
H1_retarded_window_identity,d5:r12:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r12:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r12:peven:b1,yes,y=10
H1_retarded_target,d5:r12:peven:b2,yes,target=d5:r48:peven:b2 expected=d5:r48:peven:b2
H1_retarded_window_identity,d5:r12:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r12:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r12:peven:b2,yes,y=10
H1_retarded_target,d5:r13:podd:b0,yes,target=d5:r52:peven:b2 expected=d5:r52:peven:b2
H1_retarded_window_identity,d5:r13:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r13:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r13:podd:b0,yes,y=10
H1_retarded_target,d5:r13:peven:b1,yes,target=d5:r52:peven:b2 expected=d5:r52:peven:b2
H1_retarded_window_identity,d5:r13:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r13:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r13:peven:b1,yes,y=10
H1_retarded_target,d5:r13:peven:b2,yes,target=d5:r52:peven:b2 expected=d5:r52:peven:b2
H1_retarded_window_identity,d5:r13:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r13:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r13:peven:b2,yes,y=10
H1_retarded_target,d5:r14:podd:b0,yes,target=d5:r56:peven:b2 expected=d5:r56:peven:b2
H1_retarded_window_identity,d5:r14:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r14:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r14:podd:b0,yes,y=10
H1_retarded_target,d5:r14:peven:b1,yes,target=d5:r56:peven:b2 expected=d5:r56:peven:b2
H1_retarded_window_identity,d5:r14:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r14:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r14:peven:b1,yes,y=10
H1_retarded_target,d5:r14:peven:b2,yes,target=d5:r56:peven:b2 expected=d5:r56:peven:b2
H1_retarded_window_identity,d5:r14:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r14:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r14:peven:b2,yes,y=10
H1_retarded_target,d5:r15:podd:b0,yes,target=d5:r60:peven:b2 expected=d5:r60:peven:b2
H1_retarded_window_identity,d5:r15:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r15:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r15:podd:b0,yes,y=10
H1_retarded_target,d5:r15:peven:b1,yes,target=d5:r60:peven:b2 expected=d5:r60:peven:b2
H1_retarded_window_identity,d5:r15:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r15:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r15:peven:b1,yes,y=10
H1_retarded_target,d5:r15:peven:b2,yes,target=d5:r60:peven:b2 expected=d5:r60:peven:b2
H1_retarded_window_identity,d5:r15:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r15:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r15:peven:b2,yes,y=10
H1_retarded_target,d5:r16:podd:b0,yes,target=d5:r64:peven:b2 expected=d5:r64:peven:b2
H1_retarded_window_identity,d5:r16:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r16:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r16:podd:b0,yes,y=10
H1_retarded_target,d5:r16:peven:b1,yes,target=d5:r64:peven:b2 expected=d5:r64:peven:b2
H1_retarded_window_identity,d5:r16:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r16:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r16:peven:b1,yes,y=10
H1_retarded_target,d5:r16:peven:b2,yes,target=d5:r64:peven:b2 expected=d5:r64:peven:b2
H1_retarded_window_identity,d5:r16:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r16:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r16:peven:b2,yes,y=10
H1_retarded_target,d5:r17:podd:b0,yes,target=d5:r68:peven:b2 expected=d5:r68:peven:b2
H1_retarded_window_identity,d5:r17:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r17:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r17:podd:b0,yes,y=10
advanced_direct_c2_advanced_integrality,d5:r17:podd:b0,yes,3c+1=34 2a=34
H2_direct_child_mod3,d5:r17:podd:b0,yes,c_mod3=2
H2_direct_target,d5:r17:podd:b0,yes,target=d5:r11:podd:b0 expected=d5:r11:podd:b0
H2_direct_window_le_target,d5:r17:podd:b0,yes,y=8
H2_direct_window_le_target,d5:r17:podd:b0,yes,y=9
H2_direct_window_le_target,d5:r17:podd:b0,yes,y=10
H1_retarded_target,d5:r17:peven:b1,yes,target=d5:r68:peven:b2 expected=d5:r68:peven:b2
H1_retarded_window_identity,d5:r17:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r17:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r17:peven:b1,yes,y=10
advanced_direct_c2_advanced_integrality,d5:r17:peven:b1,yes,3c+1=1492 2a=1492
H2_direct_child_mod3,d5:r17:peven:b1,yes,c_mod3=2
H2_direct_target,d5:r17:peven:b1,yes,target=d5:r11:podd:b0 expected=d5:r11:podd:b0
H2_direct_window_le_target,d5:r17:peven:b1,yes,y=8
H2_direct_window_le_target,d5:r17:peven:b1,yes,y=9
H2_direct_window_le_target,d5:r17:peven:b1,yes,y=10
H1_retarded_target,d5:r17:peven:b2,yes,target=d5:r68:peven:b2 expected=d5:r68:peven:b2
H1_retarded_window_identity,d5:r17:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r17:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r17:peven:b2,yes,y=10
advanced_direct_c2_advanced_integrality,d5:r17:peven:b2,yes,3c+1=4408 2a=4408
H2_direct_child_mod3,d5:r17:peven:b2,yes,c_mod3=2
H2_direct_target,d5:r17:peven:b2,yes,target=d5:r11:podd:b0 expected=d5:r11:podd:b0
H2_direct_window_le_target,d5:r17:peven:b2,yes,y=8
H2_direct_window_le_target,d5:r17:peven:b2,yes,y=9
H2_direct_window_le_target,d5:r17:peven:b2,yes,y=10
H1_retarded_target,d5:r18:podd:b0,yes,target=d5:r72:peven:b2 expected=d5:r72:peven:b2
H1_retarded_window_identity,d5:r18:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r18:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r18:podd:b0,yes,y=10
H1_retarded_target,d5:r18:peven:b1,yes,target=d5:r72:peven:b2 expected=d5:r72:peven:b2
H1_retarded_window_identity,d5:r18:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r18:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r18:peven:b1,yes,y=10
H1_retarded_target,d5:r18:peven:b2,yes,target=d5:r72:peven:b2 expected=d5:r72:peven:b2
H1_retarded_window_identity,d5:r18:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r18:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r18:peven:b2,yes,y=10
H1_retarded_target,d5:r19:podd:b0,yes,target=d5:r76:peven:b2 expected=d5:r76:peven:b2
H1_retarded_window_identity,d5:r19:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r19:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r19:podd:b0,yes,y=10
H1_retarded_target,d5:r19:peven:b1,yes,target=d5:r76:peven:b2 expected=d5:r76:peven:b2
H1_retarded_window_identity,d5:r19:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r19:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r19:peven:b1,yes,y=10
H1_retarded_target,d5:r19:peven:b2,yes,target=d5:r76:peven:b2 expected=d5:r76:peven:b2
H1_retarded_window_identity,d5:r19:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r19:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r19:peven:b2,yes,y=10
H1_retarded_target,d5:r20:podd:b0,yes,target=d5:r80:peven:b2 expected=d5:r80:peven:b2
H1_retarded_window_identity,d5:r20:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r20:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r20:podd:b0,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r20:podd:b0,yes,3c+1=1498 2a=1498
H3_lift_child_mod3,d5:r20:podd:b0,yes,c_mod3=1
H3_lift_route,d5:r20:podd:b0,yes,T(2c)=499 c=499
H3_lift_target,d5:r20:podd:b0,yes,target=d5:r26:peven:b1 expected=d5:r26:peven:b1
H3_lift_parity_window_exact,d5:r20:podd:b0,yes,y=8
H3_lift_parity_window_exact,d5:r20:podd:b0,yes,y=9
H3_lift_parity_window_exact,d5:r20:podd:b0,yes,y=10
H1_retarded_target,d5:r20:peven:b1,yes,target=d5:r80:peven:b2 expected=d5:r80:peven:b2
H1_retarded_window_identity,d5:r20:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r20:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r20:peven:b1,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r20:peven:b1,yes,3c+1=2956 2a=2956
H3_lift_child_mod3,d5:r20:peven:b1,yes,c_mod3=1
H3_lift_route,d5:r20:peven:b1,yes,T(2c)=985 c=985
H3_lift_target,d5:r20:peven:b1,yes,target=d5:r26:peven:b1 expected=d5:r26:peven:b1
H3_lift_parity_window_exact,d5:r20:peven:b1,yes,y=8
H3_lift_parity_window_exact,d5:r20:peven:b1,yes,y=9
H3_lift_parity_window_exact,d5:r20:peven:b1,yes,y=10
H1_retarded_target,d5:r20:peven:b2,yes,target=d5:r80:peven:b2 expected=d5:r80:peven:b2
H1_retarded_window_identity,d5:r20:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r20:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r20:peven:b2,yes,y=10
advanced_parity_lift_c1_advanced_integrality,d5:r20:peven:b2,yes,3c+1=40 2a=40
H3_lift_child_mod3,d5:r20:peven:b2,yes,c_mod3=1
H3_lift_route,d5:r20:peven:b2,yes,T(2c)=13 c=13
H3_lift_target,d5:r20:peven:b2,yes,target=d5:r26:peven:b1 expected=d5:r26:peven:b1
H3_lift_parity_window_exact,d5:r20:peven:b2,yes,y=8
H3_lift_parity_window_exact,d5:r20:peven:b2,yes,y=9
H3_lift_parity_window_exact,d5:r20:peven:b2,yes,y=10
H1_retarded_target,d5:r21:podd:b0,yes,target=d5:r84:peven:b2 expected=d5:r84:peven:b2
H1_retarded_window_identity,d5:r21:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r21:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r21:podd:b0,yes,y=10
H1_retarded_target,d5:r21:peven:b1,yes,target=d5:r84:peven:b2 expected=d5:r84:peven:b2
H1_retarded_window_identity,d5:r21:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r21:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r21:peven:b1,yes,y=10
H1_retarded_target,d5:r21:peven:b2,yes,target=d5:r84:peven:b2 expected=d5:r84:peven:b2
H1_retarded_window_identity,d5:r21:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r21:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r21:peven:b2,yes,y=10
H1_retarded_target,d5:r22:podd:b0,yes,target=d5:r88:peven:b2 expected=d5:r88:peven:b2
H1_retarded_window_identity,d5:r22:podd:b0,yes,y=8
H1_retarded_window_identity,d5:r22:podd:b0,yes,y=9
H1_retarded_window_identity,d5:r22:podd:b0,yes,y=10
H1_retarded_target,d5:r22:peven:b1,yes,target=d5:r88:peven:b2 expected=d5:r88:peven:b2
H1_retarded_window_identity,d5:r22:peven:b1,yes,y=8
H1_retarded_window_identity,d5:r22:peven:b1,yes,y=9
H1_retarded_window_identity,d5:r22:peven:b1,yes,y=10
H1_retarded_target,d5:r22:peven:b2,yes,target=d5:r88:peven:b2 expected=d5:r88:peven:b2
H1_retarded_window_identity,d5:r22:peven:b2,yes,y=8
H1_retarded_window_identity,d5:r22:peven:b2,yes,y=9
H1_retarded_window_identity,d5:r22:peven:b2,yes,y=10
H1_retarded_target,d5:r23:podd:b0,yes,target=d5:r92:peven:b2 expected=d5:r92:peven:b2
H1_retarded_window_identity,d5:r23:podd:b0,yes,y=8
