target,status,elapsed_seconds,exit_code,preexisting,output_tail
CollatzClassical.KL2003.KL2003K11CertificateMatchShard40,PASS,300.938698,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard40
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard41,PASS,298.743427,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard41
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard42,PASS,303.02462,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard42
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard43,PASS,301.688744,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard43
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard44,PASS,313.399738,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard44
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard45,PASS,315.982835,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard45
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard46,PASS,319.471502,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard46
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard47,PASS,319.563623,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard47
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard48,PASS,328.832874,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard48
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard49,PASS,331.916081,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard49
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard50,PASS,327.51096,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard50
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard51,PASS,326.52404,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard51
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard52,PASS,350.013396,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard52
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard53,PASS,344.281175,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard53
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard54,PASS,338.508996,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard54
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard55,PASS,337.845639,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard55
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard56,PASS,358.975856,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard56
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard57,PASS,339.427876,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard57
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard58,PASS,333.75635,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard58
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard59,PASS,336.91042,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard59
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard60,PASS,352.436396,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard60
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard61,PASS,314.971545,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard61
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard62,PASS,315.665938,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard62
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard63,PASS,309.986407,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard63
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard64,PASS,336.609912,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard64
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard65,PASS,328.843147,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard65
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard66,PASS,320.18942,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard66
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard67,PASS,325.791668,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard67
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard68,PASS,350.232729,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard68
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard69,PASS,342.327864,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard69
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard70,PASS,338.006716,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard70
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard71,PASS,340.000519,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard71
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard72,PASS,354.856102,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard72
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard73,PASS,358.215069,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard73
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard74,PASS,344.116754,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard74
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard75,PASS,334.312141,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard75
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard76,PASS,371.484582,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard76
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard77,PASS,382.333903,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard77
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard78,PASS,345.068605,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard78
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard79,PASS,346.283629,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard79
Build completed successfully.
"
CollatzClassical.KL2003.KL2003K11CertificateMatchShard80,PASS,219.602107,0,False,"✔ [851/851] Built CollatzClassical.KL2003.KL2003K11CertificateMatchShard80
Build completed successfully.
"
